# English source<TAB>French Canadian translation. Authored for The Zebes Project.
Language	Langue
Copy your complete randomizer configuration to share it. Import replaces the draft settings but keeps your seed number. It does not change an already generated save.	Copiez la configuration complète pour la partager. L'importation remplace les options en préparation, mais conserve le numéro de seed. Une sauvegarde déjà générée n'est pas modifiée.
Collect the required quota to trigger a timed escape to your ship. Mother Brain is not required. Tablets replace surplus ammo packs; all checks must remain reachable.	Rassemblez le quota requis pour déclencher une évacuation vers le vaisseau. Il n'est pas nécessaire de vaincre Mother Brain. Les tablettes remplacent des munitions excédentaires; tous les emplacements doivent rester accessibles.
Collect this many tablets to start the escape. Space Jump is granted and incoming damage doubles during the escape.	Rassemblez ce nombre de tablettes pour déclencher l'évacuation. Le saut spatial est accordé et les dégâts subis sont doublés pendant la fuite.
The generator preserves enough ammo packs for progression. Very high totals can fail pool validation.	Le générateur conserve assez de munitions pour la progression. Un total trop élevé peut rendre la répartition impossible.
Collect the required quota, then reach and board Samus's ship before the native timer expires.	Rassemblez le quota requis, puis montez à bord du vaisseau de Samus avant la fin du compte à rebours.
Settings string copied. Share the seed number separately to reproduce the same world.	Configuration copiée. Partagez aussi le numéro de seed pour reproduire le même monde.
Settings imported. Your seed number was kept.	Configuration importée. Votre numéro de seed a été conservé.
Clipboard text is too large.	Le texte du presse-papiers est trop long.
Configuration exported.	Configuration exportée.
Cannot write configuration file.	Impossible d'écrire le fichier de configuration.
Invalid configuration. The previous draft was kept.	Configuration invalide. Les options précédentes ont été conservées.
Cannot read seed settings. Reload the slot before editing.	Impossible de lire les options de la seed. Rechargez la sauvegarde avant de les modifier.
THE ZEBES PROJECT SPECIAL THANKS	THE ZEBES PROJECT - MERCI
SPECIAL THANKS	REMERCIEMENTS SPÉCIAUX
PRESS START	APPUYEZ SUR START
A SUPER METROID FAN PROJECT	UN PROJET DE FANS DE SUPER METROID
Original save	Sauvegarde d'origine
Select weapon	Choisir une arme
Native pause / map	Pause et carte du jeu
Move up	Monter
Move down	Descendre
Move left	Aller à gauche
Move right	Aller à droite
Cancel weapon	Désélectionner l'arme
Aim up	Viser vers le haut
Aim down	Viser vers le bas
Previous weapon	Arme précédente
Next weapon	Arme suivante
Jump	Sauter
Run	Courir
Shoot	Tirer
Selected objectives	Objectifs choisis
That key is reserved for a system shortcut.	Cette touche est réservée à un raccourci système.
Binding saved. Conflicting bindings are swapped.	Commande enregistrée. Les commandes en conflit ont été échangées.
Please wait for generation in the native game menu to finish.	Attendez la fin de la génération dans le menu du jeu.
Resolve the highlighted settings conflicts before creating a randomized game.	Corrigez les incompatibilités signalées avant de créer une partie aléatoire.
Save transaction interrupted. Reload this save bank to recover.	Sauvegarde interrompue. Rechargez cette banque pour la récupérer.
A save-slot seed is incompatible with this ROM.	La seed d'un emplacement est incompatible avec cette ROM.
Update the native module before generating with these settings.	Mettez le jeu à jour avant de générer une partie avec ces options.
Generating from the native new-game menu...	Génération depuis le menu de nouvelle partie…
Discarded generation from a previous session.	La génération de la session précédente a été écartée.
Game generated and saved. Select Start Game in the native menu.	Partie générée et sauvegardée. Choisissez Commencer dans le menu du jeu.
Could not save the generated slot. Generate Game can retry.	Impossible de sauvegarder la partie générée. Choisissez Générer la partie pour réessayer.
Cannot flush the current SRAM. Session change cancelled.	Impossible d'enregistrer les données actuelles. Changement de session annulé.
The selected SRAM has an invalid size. It was not loaded or modified.	La taille de la sauvegarde choisie est invalide. Elle n'a été ni chargée ni modifiée.
Please wait for seed generation to finish before exiting.	Attendez la fin de la génération avant de quitter.
Cannot flush SRAM; exit cancelled.	Impossible d'enregistrer les données; fermeture annulée.
Settings changed. Wait for the compatibility check before creating a game.	Options modifiées. Attendez la vérification de compatibilité avant de créer une partie.
Could not configure the new run. The source save was preserved.	Impossible de configurer la nouvelle partie. La sauvegarde d'origine est intacte.
START A GAME	COMMENCER UNE PARTIE
Choose SAMUS A, B or C in the game's file-select screen.	Choisissez SAMUS A, B ou C à l'écran de sélection des sauvegardes.
Vanilla: choose Vanilla Mode, then Start Game.	Classique : choisissez Mode classique, puis Commencer.
Randomized: choose Randomizer Mode, review Randomizer Options, then Generate Game. Start Game unlocks when generation finishes.	Aléatoire : choisissez Mode aléatoire, ajustez les Options aléatoires, puis choisissez Générer la partie. Commencer devient disponible à la fin de la génération.
Each slot keeps its own mode and seed. Your randomizer settings are remembered for the next new slot; existing games keep their original rules.	Chaque emplacement conserve son mode et sa seed. Vos options sont mémorisées pour la prochaine partie; les parties existantes conservent leurs règles.
Game settings	Options du jeu
Prepare randomizer settings	Préparer les options aléatoires
Save library / New Game+	Sauvegardes et Nouvelle partie+
CURRENT SAVE BANK	BANQUE ACTUELLE
SAMUS %c  /  %s	SAMUS %c  /  %s
Seed %d	Seed %d
Waiting for Generate Game in the native menu.	En attente de Générer la partie dans le menu du jeu.
Open settings: Escape / F4 / right stick click. Open the original map and equipment screen: Start.	Options : Échap / F4 / clic du levier droit. Carte et équipement : Start.
SAVE LIBRARY	SAUVEGARDES
Each save bank contains three independent A/B/C slots. Choose Vanilla or Randomized inside the game, separately for each new slot.	Chaque banque contient trois emplacements indépendants A/B/C. Choisissez Classique ou Aléatoire dans le jeu pour chaque nouvel emplacement.
You can play immediately using the current bank. Create an additional bank only when you need more slots, a speedrun or New Game+.	Vous pouvez jouer avec la banque actuelle. Créez une banque supplémentaire pour avoir plus d'emplacements, commencer une course chronométrée ou une Nouvelle partie+.
New save bank name (optional)	Nom de la nouvelle banque (facultatif)
Run category	Catégorie de partie
Ranked by native in-game time. Glitches allowed. QoL permits only Wall Jump / Space Jump assists. Save refills and trackers are disabled during speedruns.	Classement selon le temps du jeu. Les glitchs sont permis. La catégorie Confort autorise seulement les aides au saut mural et au saut spatial. Recharge aux sauvegardes et suivis désactivés en course.
Create Vanilla speedrun bank	Créer une banque de courses classiques
Create additional save bank	Créer une banque supplémentaire
Save at a station in the game. Flushing SRAM does not save your current position. Loading a profile returns to its title and file-select screen.	Sauvegardez à une station du jeu. L'écriture des données ne sauvegarde pas votre position actuelle. Charger un profil ramène au titre et au choix des sauvegardes.
Refresh library	Actualiser la liste
Profile unavailable: %s	Profil indisponible : %s
New Game+ from SAMUS %c	Nouvelle partie+ depuis SAMUS %c
Creates a separate bank with the first completed game's equipment and ammo capacities. Enemy endurance x2; enemy damage x1.5.	Crée une banque distincte avec l'équipement et les capacités de munitions de la première partie terminée. Endurance ennemie ×2; dégâts ennemis ×1,5.
  /  CURRENT	  /  ACTUELLE
Seed %d  /  %s	Seed %d  /  %s
Seed %d  /  Awaiting Generate Game	Seed %d  /  En attente de génération
Random seed  /  Awaiting Generate Game	Seed aléatoire  /  En attente de génération
Awaiting generation	En attente de génération
Samus %c settings copied. Seed: %s.	Options de Samus %c copiées. Seed : %s.
random at generation	aléatoire à la génération
Your existing save file, kept at its original location.	Votre sauvegarde existante, conservée à son emplacement d'origine.
Load save bank	Charger la banque
SEED & SHARING	SEED ET PARTAGE
LOGIC & DIFFICULTY	LOGIQUE ET DIFFICULTÉ
ITEM PROGRESSION	PROGRESSION DES OBJETS
ITEMS & AMMUNITION	OBJETS ET MUNITIONS
WORLD & ESCAPE	MONDE ET ÉVACUATION
GOALS & VICTORY	OBJECTIFS ET VICTOIRE
GAMEPLAY PATCHES	MODIFICATIONS DU JEU
ADVANCED / TECHNIQUES	AVANCÉ / TECHNIQUES
ADVANCED / COMBAT & HEAT	AVANCÉ / COMBAT ET CHALEUR
Start with a preset, share a configuration or leave the seed blank for a surprise.	Partez d'un préréglage, partagez votre configuration ou laissez le numéro de seed vide pour une surprise.
Choose what the generator and tracker expect you to be able to do.	Choisissez les techniques que le générateur et le suivi vous considèrent capable d'exécuter.
Decide how progression items are spread through the world.	Choisissez comment répartir les objets de progression dans le monde.
Configure the equipment pool, energy and ammunition.	Configurez l'ensemble d'équipement, l'énergie et les munitions.
Choose starting locations, world connections, doors and escape rules.	Choisissez les points de départ, les connexions, les portes et les règles d'évacuation.
Choose what completes your adventure, including Chozo Tablet Hunt.	Choisissez les conditions de victoire, y compris la chasse aux tablettes chozo.
Optional changes to the original game's behavior and routes.	Modifications facultatives aux mécaniques et aux trajets du jeu original.
Fine-tune individual techniques. Presets already provide values for all of them.	Ajustez chaque technique. Les préréglages fournissent déjà une valeur pour chacune.
Fine-tune boss fights, damage tolerance and heat runs. These affect both generation and tracking.	Ajustez les combats de boss, la tolérance aux dégâts et les passages en zone surchauffée. Ces options influencent la génération et le suivi.
Checking settings...	Vérification des options…
Seed number: leave it blank or enter 1 to 2147483647.	Numéro de seed : laissez vide ou entrez un nombre de 1 à 2147483647.
Resolve these conflicts before Generate Game:	Corrigez ces incompatibilités avant de générer la partie :
Seed & presets	Seed et préréglages
Logic & difficulty	Logique et difficulté
Items & ammo	Objets et munitions
World & escape	Monde et évacuation
Goals & victory	Objectifs et victoire
Gameplay patches	Modifications du jeu
Combat & heat	Combat et chaleur
Settings compatible	Options compatibles
Generation will also verify a complete playable route.	La génération vérifiera aussi qu'un parcours complet est possible.
EDITING SAMUS %c  /  SAVED AUTOMATICALLY	OPTIONS DE SAMUS %c  /  ENREGISTREMENT AUTOMATIQUE
New-slot defaults / saved automatically. Existing seeds are unchanged.	Options des nouvelles parties / enregistrement automatique. Les seeds existantes restent intactes.
Random when blank	Aléatoire si vide
Enter 1 to 2147483647, or leave the field empty.	Entrez un nombre de 1 à 2147483647, ou laissez le champ vide.
Return to the native menu and select Generate Game when your settings are ready.	Une fois les options prêtes, retournez au menu du jeu et choisissez Générer la partie.
Return to the game, choose an empty A/B/C slot and select Randomizer Mode to use these settings.	Retournez au jeu, choisissez un emplacement A/B/C vide, puis Mode aléatoire pour utiliser ces options.
Generation is running in the native game menu.	La génération est en cours dans le menu du jeu.
GAMEPLAY & COMFORT	JOUABILITÉ ET CONFORT
ATMOSPHERE & EFFECTS	AMBIANCE ET EFFETS
MAP & TRACKERS	CARTE ET SUIVI
Window, screen proportions and frame presentation.	Fenêtre, proportions de l'image et affichage.
Music, sound effects and soundtrack selection.	Musique, effets sonores et choix de la trame sonore.
Keyboard and controller bindings. Select a button to reassign it.	Commandes au clavier et à la manette. Choisissez une commande à réassigner.
Optional assists and comfort settings. Speedrun rules take precedence.	Aides et options de confort facultatives. Les règles de course ont priorité.
Menu readability, shortcut help and native VARIA interface options.	Lisibilité des menus, aide aux raccourcis et options de l'interface VARIA.
Lighting, depth and weather over the original pixel art.	Éclairage, profondeur et météo sur les graphismes originaux.
Tracking integrated into the original map and minimap.	Suivi intégré à la carte et à la minicarte du jeu.
Changes are applied and saved automatically.	Les modifications sont appliquées et enregistrées automatiquement.
Extend the gameplay view horizontally.	Élargir horizontalement la vue du jeu.
Window mode	Mode d'affichage
Choose a windowed or borderless fullscreen presentation.	Choisir une fenêtre ou le plein écran sans bordure.
Fit to screen uses the largest image that preserves its proportions. Integer scaling keeps uniform pixel blocks with black margins; very small windows fall back to fit. Neither mode stretches or crops the game.	Adapter à l'écran maximise l'image sans la déformer. L'échelle entière conserve des pixels uniformes et peut laisser des marges noires; les très petites fenêtres utilisent l'adaptation. Aucun mode n'étire ni ne rogne l'image.
Blend a lightly blurred copy over the scene. The HUD is excluded.	Superposer une copie légèrement floutée à la scène, sans toucher aux indicateurs du jeu.
Original SNES music or the selected Remastered arrangements. Sound effects stay original. Missing tracks use Original automatically.	Musique SNES originale ou arrangements rematricés choisis. Les effets sonores restent d'origine. Les pistes manquantes utilisent automatiquement la musique originale.
Left stick deadzone	Zone morte du levier gauche
Ignore small analog-stick movements around its center.	Ignorer les petits mouvements du levier près du centre.
Press a button...	Appuyez sur un bouton…
Restore default bindings	Rétablir les commandes par défaut
Select a binding, then press a key or button. Escape cancels; duplicate bindings swap. Menu: Escape / F4 / right stick click. Native pause: Start.	Choisissez une commande, puis appuyez sur une touche ou un bouton. Échap annule; les doublons sont échangés. Menu : Échap / F4 / clic du levier droit. Pause du jeu : Start.
Speedrun rules override these preferences: save refills and trackers are off. No QoL also forces both jump assists off.	Les règles de course ont priorité : recharge aux sauvegardes et suivis désactivés. Sans confort désactive aussi les deux aides au saut.
Fully restore energy, reserves, Missiles, Super Missiles and Power Bombs when you confirm a save at a station. On by default for new installations; existing preferences are preserved. A seed that requires refills keeps them enabled.	Rétablir l'énergie, les réserves, les missiles, les super missiles et les bombes de puissance en confirmant une sauvegarde. Activé par défaut à la première installation; les préférences existantes sont conservées. Une seed qui exige la recharge la maintient active.
Randomized games only. When loading a save, choose a region, then use L / R to select a station already unlocked in that slot. Off by default. Unavailable during an escape or a speedrun.	Parties aléatoires seulement. Au chargement, choisissez une région, puis une station débloquée dans cet emplacement avec L / R. Désactivé par défaut. Indisponible pendant une évacuation ou une course chronométrée.
Assisted wall jump	Aide au saut mural
Enable the forgiving wall jump. Disable to retain original timing.	Rendre le saut mural plus permissif. Désactivez pour garder le rythme original.
Assisted Space Jump	Aide au saut spatial
Relax the original repeated-jump rhythm.	Assouplir le rythme des sauts répétés.
Combat flash strength	Intensité des éclairs de combat
Reduce added combat flashes, including power bombs. Does not modify original ROM flashes.	Atténuer les éclairs ajoutés aux combats, y compris les bombes de puissance. Les éclairs du jeu original ne sont pas modifiés.
VARIA maximum ammo	Capacités de munitions VARIA
Randomized slots only. Maximum capacity above the compact ammo icon, current ammo below. Supports three-digit Supers and Power Bombs.	Parties aléatoires : capacité maximale au-dessus de l'icône, munitions restantes en dessous. Les super missiles et bombes de puissance peuvent afficher trois chiffres.
VARIA area & objective HUD	Région et objectifs VARIA
Randomized slots only. Graph-area name, uncollected locations, compact energy tanks and five-second objective notifications.	Parties aléatoires : région logique, emplacements restants, réserves d'énergie compactes et avis d'objectifs de cinq secondes.
VARIA improved reserves	Réserves améliorées VARIA
Randomized slots only. Filled tank pickups, no wasted reserve energy, cancelable manual transfer, safer auto-refill and empty/partial/full HUD indicator.	Parties aléatoires : réserves remplies à l'obtention, énergie préservée, transfert manuel annulable, recharge automatique plus sûre et indicateur vide, partiel ou plein.
VARIA map item markers	Repères d'objets VARIA
Randomized slots only. Native collection dots when the logic map tracker is disabled; tracker colors take precedence when enabled.	Parties aléatoires : repères de collecte natifs lorsque le suivi logique est désactivé. Les couleurs du suivi ont priorité lorsqu'il est activé.
Menu text scale	Taille du texte des menus
Resize the system interface independently of the game pixels.	Redimensionner l'interface système sans modifier les pixels du jeu.
Native pause & map	Pause et carte du jeu
The original game assets, equipment screen and map remain available with Start.	La carte et l'écran d'équipement du jeu original restent accessibles avec Start.
Original Super Metroid UI	Interface originale de Super Metroid
Gameplay shortcut help	Aide aux raccourcis
Show the existing in-game shortcut overlay.	Afficher les raccourcis pendant le jeu.
Off by default. Enables tracking with original item placements and unpatched vanilla rules; does not randomize the save.	Désactivé par défaut. Active le suivi avec les objets et les règles d'origine, sans rendre la sauvegarde aléatoire.
Item squares and boss diamonds on the native pause map and minimap. Both use the effective rules of the seed.	Carrés d'objets et losanges de boss sur la carte et la minicarte. Les deux suivent les règles effectives de la seed.
Original pack icons and acquired capacities in the native map header. Dim equipment is missing; dim boss portraits are defeated.	Icônes et capacités acquises au-dessus de la carte. Équipement sombre : manquant. Portrait de boss sombre : vaincu.
Only used for Vanilla tracking. Randomized saves always use their saved skill configuration.	Pour le suivi classique seulement. Les parties aléatoires utilisent toujours leur profil de techniques sauvegardé.
Squares: items. Diamonds: boss fights. Green: reachable and beatable with a safe return after victory. Mixed item checks share a square. White outlines: pending.	Carrés : objets. Losanges : boss. Vert : accessible et vainquable avec un retour sûr après la victoire. Plusieurs objets peuvent partager un carré. Contour blanc : calcul en attente.
The original F1-F12 tools, with their current values. Changes also update Settings.	Les outils F1 à F12 et leurs valeurs actuelles. Les changements mettent aussi les options à jour.
Ending sequence	Séquence de fin
Escape from Zebes, the planet's destruction and the credit roll. Start returns to your session without changing saves or run statistics.	Évacuation de Zebes, destruction de la planète et générique. Start retourne à votre session sans modifier les sauvegardes ni les statistiques.
Return from Ending Sequence	Quitter l'aperçu de la fin
View Ending Sequence	Voir la séquence de fin
Finish the current message or transition before previewing the ending.	Terminez le message ou la transition avant de voir la séquence de fin.
Credit roll preview	Aperçu du générique
Original assets, Zebes atmosphere and this slot's tracked statistics. Start returns to the untouched session; hold Right to fast-forward.	Graphismes d'origine, ambiance de Zebes et statistiques de cette sauvegarde. Start retourne à la session intacte; maintenez Droite pour accélérer.
Return from Credit Roll	Quitter l'aperçu du générique
Launch Credit Roll	Voir le générique
Finish the current message or transition before previewing credits.	Terminez le message ou la transition avant de voir le générique.
Resume game	Reprendre la partie
Reset to title	Retourner à l'écran titre
Reset and Exit preserve SRAM. Progress since the last save station is not saved.	Le retour au titre et la fermeture conservent les sauvegardes. La progression depuis la dernière station n'est pas enregistrée.
Run recap	Récapitulatif du parcours
Replay your recorded path on the original area maps. Visits and backtracking stay in chronological order.	Revoyez votre parcours sur les cartes du jeu. Les visites et les retours sont présentés dans l'ordre chronologique.
Your discoveries and milestones across this save bank.	Vos découvertes et vos exploits dans cette banque de sauvegardes.
A NEW DISCOVERY	UNE NOUVELLE DÉCOUVERTE
HUNTER	CHASSEUSE
POWER UNLEASHED	PUISSANCE LIBÉRÉE
REACH FURTHER	TOUJOURS PLUS LOIN
CHARGED ARMOR	ARMURE ÉLECTRISÉE
Acquire a new equipment or beam upgrade.	Obtenir une amélioration d'équipement ou de rayon.
Defeat 10 enemies.	Vaincre 10 ennemis.
Detonate a Power Bomb.	Faire exploser une bombe de puissance.
Use the Grapple Beam.	Utiliser le rayon grappin.
Use the Screw Attack.	Utiliser l'attaque en vrille.
%d / 5 unlocked	%d / 5 déverrouillés
Progress: %d / 10	Progression : %d / 10
The Zebes Project settings	Options de The Zebes Project
SETTINGS & EXTRAS	OPTIONS ET EXTRAS
Search all settings and saves...	Rechercher une option ou une sauvegarde…
Debug tools	Outils de débogage
Seed & sharing	Seed et partage
Gameplay & comfort	Jouabilité et confort
Atmosphere & effects	Ambiance et effets
Map & trackers	Carte et suivi
SEARCH RESULTS	RÉSULTATS DE RECHERCHE
Matching settings and saved games.	Options et sauvegardes correspondantes.
Tab / arrows to navigate. Enter or A to select. Escape / Back to return. Start belongs to the original pause screen.	Tab / flèches : naviguer. Entrée ou A : choisir. Échap / Retour : revenir. Start ouvre l'écran pause du jeu.
Leave this session?	Quitter cette session?
Progress since your last save station will be lost.	La progression depuis la dernière station sera perdue.
The existing save file and profile will be kept.	La sauvegarde et le profil existants seront conservés.
LOCKED	VERROUILLÉ
UNLOCKED	DÉVERROUILLÉ
ADVANCED	AVANCÉ
PHOTOSENSITIVITY WARNING	AVERTISSEMENT DE PHOTOSENSIBILITÉ
AI TRANSPARENCY	TRANSPARENCE SUR L'UTILISATION DE L'IA
This game contains flashing lights, bright visual effects, and rapidly changing images. These may trigger seizures or other symptoms in people with photosensitive epilepsy, including those with no previous history of seizures.	Ce jeu contient des lumières clignotantes, des effets lumineux intenses et des images qui changent rapidement. Ces éléments peuvent déclencher des crises ou d'autres symptômes chez les personnes atteintes d'épilepsie photosensible, même sans antécédents de crise.
Play in a well-lit room and take regular breaks. Stop playing immediately if you experience dizziness, visual disturbances, involuntary movements, or discomfort.	Jouez dans une pièce bien éclairée et prenez régulièrement des pauses. Cessez immédiatement de jouer si vous ressentez des étourdissements, des troubles de la vision, des mouvements involontaires ou un malaise.
We believe in being open about how The Zebes Project is made. The voice performances and music are created and performed by real people. The game's code is developed by humans with AI assistance.	Nous tenons à expliquer clairement comment The Zebes Project est créé. Les voix et les musiques sont réalisées et interprétées par de vraies personnes. Le code du jeu est développé par des humains avec l'aide de l'IA.
Some graphics in this development version were generated using AI as temporary placeholders. These assets are not intended to be final and will be replaced with human-created artwork.	Certains graphismes de cette version en développement ont été générés par IA à titre temporaire. Ils ne sont pas définitifs et seront remplacés par des créations humaines.
Press any button to continue	Appuyez sur une touche pour continuer
SOMETHING'S WRONG,	QUELQUE CHOSE CLOCHE,
GET TO THE SHIP !	RETOURNEZ AU VAISSEAU !
STRESS GIVES	LE STRESS DONNE
DETERMINATION !	DE LA DÉTERMINATION !
Game world	Monde du jeu
Original Super Metroid or mirrored world geometry.	Super Metroid original ou géométrie du monde en miroir.
Maximum difficulty	Difficulté maximale
Hard ceiling for techniques, traversal and combat in generation and the live tracker. A skill preset alone is not an accessibility guarantee.	Limite absolue pour les techniques, les déplacements et les combats lors de la génération et du suivi en jeu. Un profil de maîtrise ne garantit pas, à lui seul, l'accessibilité.
Progression speed	Vitesse de progression
How early progression equipment appears. Random draws from the allowed choices below.	Détermine à quel moment l'équipement de progression apparaît. Le choix aléatoire utilise les possibilités autorisées ci-dessous.
Placement difficulty	Difficulté des placements
Favor easier or harder routes within your allowed skill and difficulty settings.	Favorise des parcours plus simples ou plus difficiles, dans les limites de vos techniques et de votre difficulté.
Morph Ball placement	Placement de la Morphosphère
Early, late or unrestricted placement of the Morph Ball.	Placement précoce, tardif ou sans contrainte de la Morphosphère.
Suit progression restriction	Progression des combinaisons
